0,0,0
0,0,0
639.5+304.11i,41.86+20.274i,167.44+81.095i
0,0,0
0,0,0
559.82+266.58i,36.695+17.772i,146.78+71.089i
609.8+290.88i,40.04+19.392i,160.16+77.569i
935.78+445.66i,61.345+29.711i,245.38+118.84i
0,0,0
807.48+386.82i,53.245+25.788i,212.98+103.15i
1134+543.3i,74.785+36.22i,299.14+144.88i
1828.7+878.79i,120.96+58.586i,483.86+234.34i
567.5+268.07i,36.9+17.871i,147.6+71.486i
