,mean,std
0,-407.2851251541483,29.084070000865026
1,-392.2291925007874,28.841222925678462
2,-381.81668456635725,28.368101210780463
3,-367.14225378123854,21.25157092379508
4,-354.3218681203524,17.964176445187277
5,-343.0479078940554,15.26870477986912
6,-331.96241113708953,16.329870907457206
7,-322.65216092751416,16.492524298614406
8,-313.4655611279195,16.474167720859917
9,-307.80392813165906,16.46543679091946
10,-300.94884929340697,16.030430007454633
11,-294.49397446133935,16.478830464543652
12,-283.1283065228518,16.670218790320543
13,-267.89179777538476,16.502391581856994
14,-254.9359801662408,14.685953126661838
15,-242.66288533992454,14.503589501133122
16,-231.32324169423507,15.778393903823261
17,-222.9029557598757,15.742872970803184
18,-215.21165854025372,15.25643535400076
19,-208.22700194418024,14.731582359278848
20,-200.62731522018038,14.657241649601747
21,-194.99877275024022,14.624996514856827
22,-187.577572488936,14.202689104505511
23,-182.20467635129563,13.98750098306683
24,-177.91634241527288,13.496154846700572
25,-174.16100608626286,13.567965398705626
26,-170.4675772705429,14.692640080619686
27,-166.13972505936272,14.919477263341358
28,-163.48912573102928,14.671656986415423
29,-160.2987141673291,14.60116816565084
30,-156.92290249610204,14.904167394697097
31,-154.30639309895986,15.386142178850053
32,-151.69150453045143,14.947898109995865
33,-149.681884751293,13.909947804441572
34,-148.2338931694528,14.239360369434355
35,-146.13868532273608,14.22357600712928
36,-144.2523595841941,13.95479842135606
37,-142.41036315744927,13.903461840550579
38,-140.80853451827673,13.764375547368068
39,-139.45687130383004,13.955285650703038
40,-138.59744958738403,14.37494872649523
41,-137.54690657473958,14.113804989673868
42,-137.45573474470598,14.571573023265936
43,-137.2299669609669,14.452423348299805
44,-137.16704435513583,14.797238472088745
45,-137.32100277452776,14.498040988465085
46,-137.42072378478386,14.834409804946388
47,-137.58439275023633,14.071224708921312
48,-138.47893848293708,13.950066270349605
49,-138.65712577774374,14.032006803124203
50,-138.24649988275996,13.888526118682135
51,-138.79137724643613,13.200848930558896
52,-139.71800307275163,13.368290991762493
53,-139.70511083770572,13.620192380419125
54,-139.64700543006992,14.491653764865136
55,-139.78118182238381,15.178287523183965
56,-139.57631294812114,14.172953238510324
57,-139.08662441107705,14.450337125633363
58,-139.36997502730426,14.610348164551175
59,-138.75939340491638,15.07408090167285
60,-138.40484240610408,15.05512802208609
61,-138.06654374588965,15.094679209552073
62,-138.19823230904052,14.926113248759153
63,-139.2029965373094,14.784238859840404
64,-139.36552320037418,14.57057337275873
65,-139.37289785161727,15.081898758270556
66,-139.73080311999783,14.812845094451276
67,-139.6166648045072,14.437170158343791
68,-139.8714211195726,14.277293198075563
69,-140.1693665993131,14.623669545563274
