,mean,std
0,-154.0771671091055,19.119226954818014
1,-143.19572314116462,8.867210342662004
2,-139.8088717918952,7.221075346398886
3,-135.26536305381418,6.539409535405148
4,-129.85690308960622,5.221214870567889
5,-123.0666132459026,5.617040887769587
6,-117.24935179890427,4.223383529858982
7,-112.23245857560737,4.255501966574481
8,-109.8937176556708,4.310508784047818
9,-106.4129391051084,3.9770410732435737
10,-102.77500954220798,5.2491287225564776
11,-101.38650697756064,5.123939123527937
12,-98.38208093027862,6.271044423959259
13,-94.77494039205287,5.2098517897973595
14,-93.12142200651529,5.59843085933434
15,-91.63709541448392,4.133535765987533
16,-90.3818700653024,2.941781310729056
17,-88.05153715933562,4.242554025203508
18,-88.22220267036313,3.827964521577436
19,-86.97062775536067,5.338867565111552
20,-85.58712722673197,5.11888574759414
21,-83.85406474262066,6.7228419062325475
22,-83.74897426780554,4.811379001699535
23,-81.3936685421408,4.8953352257257
24,-80.6381634064909,4.493260794912124
25,-79.95533537506827,5.0820140061347825
26,-78.59934642405352,4.630445237830253
27,-76.8486991683755,6.250358651684241
28,-76.53054989454758,6.45524897069796
29,-75.72816590067697,5.067167664233134
30,-74.89507455249435,2.6850940578467926
31,-72.36341639260752,3.2211634150262345
32,-70.88882137932468,4.305908801248651
33,-70.02361428264625,4.9369595592651825
34,-69.12354326628702,4.301150549567436
35,-69.26853332127149,4.3567767621442295
36,-69.91111730925252,6.538842442856584
37,-69.75364479256736,6.239405442102226
38,-70.23950510166392,5.7330961255342245
39,-70.1682811186077,7.012697350839192
40,-68.91257235396976,5.186634359290245
41,-67.61144600576802,3.9666463768270437
42,-66.15949441815023,2.951392498220435
43,-64.6802226360738,3.655999334919894
44,-64.53468694932434,4.2094899958022465
45,-64.745516263907,3.20450076089914
46,-65.91080702214937,3.7270331135368777
47,-66.45808317959602,5.882271925523054
48,-67.53627786647102,6.164005560939201
49,-66.8662787086728,6.057369266999798
50,-66.39341063739043,5.7835698517327865
51,-65.90008577521502,5.913493540873047
52,-63.87505320478125,4.739508722050914
53,-63.48843061442754,6.369339136034271
54,-63.67103896876261,6.29194844514129
55,-62.74266448177556,4.7154321984595935
56,-61.75432426089588,4.512319741883431
57,-62.25886823710222,3.6820665826569083
58,-61.81167804597578,3.3547816323615165
59,-61.62298685414929,4.052548485036123
60,-60.31943981660187,5.204139159409338
