idx,Bus,Phase,Conn,Top,Toff,flp,kVAr,VBP1,VBP2,VBP3,VBP4
1,a04,1,Y,0.1,0,2,200,0.95,0.98,1.02,1.05
2,a06,1,Y,0.1,0,2,200,0.95,0.98,1.02,1.05
