idx,Bus,Phase,Conn,Top,Toff,fes,aes,kint,pmin,pmax,qmin,qmax,smax
1,671,1,Y,0.1,0,0.1,10,1000000,-300,300,-300,300,300
2,671,2,Y,0.1,0,0.09,10,1000000,-300,300,-300,300,300
3,671,3,Y,0.1,0,0.11,10,1000000,-300,300,-300,300,300
