,0
2016-06-01 12:01:52-07:00,17675298.331891764
2016-06-01 12:01:53-07:00,17678294.993394658
2016-06-01 12:01:54-07:00,17672386.159150627
2016-06-01 12:01:55-07:00,17668243.259420842
2016-06-01 12:01:56-07:00,17678689.415189777
2016-06-01 12:01:57-07:00,17675676.77405343
2016-06-01 12:01:58-07:00,17687408.04213952
2016-06-01 12:01:59-07:00,17707023.701339677
2016-06-01 12:02:00-07:00,17702358.36415553
2016-06-01 12:02:01-07:00,17701413.33234537
2016-06-01 12:02:02-07:00,17714132.63923573
2016-06-01 12:02:03-07:00,17713318.09823037
2016-06-01 12:02:04-07:00,17718874.466920003
2016-06-01 12:02:05-07:00,17729718.61482014
2016-06-01 12:02:06-07:00,17712794.96385485
2016-06-01 12:02:07-07:00,17720916.573752895
2016-06-01 12:02:08-07:00,17707154.327448726
2016-06-01 12:02:09-07:00,17710856.9112355
2016-06-01 12:02:10-07:00,17700691.645125333
2016-06-01 12:02:11-07:00,17701219.393530957
2016-06-01 12:02:12-07:00,17684374.781136062
2016-06-01 12:02:13-07:00,17676352.967895664
2016-06-01 12:02:14-07:00,17680670.595129512
2016-06-01 12:02:15-07:00,17685505.225304674
2016-06-01 12:02:16-07:00,17688316.389150504
2016-06-01 12:02:17-07:00,17685910.985675078
2016-06-01 12:02:18-07:00,17725329.480238155
2016-06-01 12:02:19-07:00,17711739.60594926
2016-06-01 12:02:20-07:00,17718830.151996855
2016-06-01 12:02:21-07:00,17723471.29102568
2016-06-01 12:02:22-07:00,17736052.909822464
2016-06-01 12:02:23-07:00,17757499.339659385
2016-06-01 12:02:24-07:00,17755206.72370542
2016-06-01 12:02:25-07:00,17750963.904193856
2016-06-01 12:02:26-07:00,17749292.822805982
2016-06-01 12:02:27-07:00,17730801.336114895
2016-06-01 12:02:28-07:00,17741001.432894956
2016-06-01 12:02:29-07:00,17749632.542692322
2016-06-01 12:02:30-07:00,17766093.679289863
2016-06-01 12:02:31-07:00,17777023.743093304
2016-06-01 12:02:32-07:00,17787744.4646577
2016-06-01 12:02:33-07:00,17791758.0037997
2016-06-01 12:02:34-07:00,17803797.177231282
2016-06-01 12:02:35-07:00,17796078.37680285
2016-06-01 12:02:36-07:00,17787206.659847446
2016-06-01 12:02:37-07:00,17787309.45198519
2016-06-01 12:02:38-07:00,17786700.45872973
2016-06-01 12:02:39-07:00,17801080.188924816
2016-06-01 12:02:40-07:00,17800493.40873768
2016-06-01 12:02:41-07:00,17785670.651906416
2016-06-01 12:02:42-07:00,17783753.974158436
2016-06-01 12:02:43-07:00,17778213.691312887
2016-06-01 12:02:44-07:00,17784852.367719665
2016-06-01 12:02:45-07:00,17769382.172136936
2016-06-01 12:02:46-07:00,17770874.871576197
2016-06-01 12:02:47-07:00,17769203.320328083
