,0
2016-04-11 12:00:01-07:00,5428741.665571867
2016-04-11 12:00:02-07:00,5427978.194421808
2016-04-11 12:00:03-07:00,5426934.979981689
2016-04-11 12:00:04-07:00,5418638.358698745
2016-04-11 12:00:05-07:00,5412800.651827641
2016-04-11 12:00:06-07:00,5386753.69505296
2016-04-11 12:00:07-07:00,5380702.32348101
2016-04-11 12:00:08-07:00,5371027.668658415
2016-04-11 12:00:09-07:00,5363888.040041994
2016-04-11 12:00:10-07:00,5353785.073639879
2016-04-11 12:00:11-07:00,5351573.760340348
2016-04-11 12:00:12-07:00,5351163.410997053
2016-04-11 12:00:13-07:00,5346353.129463135
2016-04-11 12:00:14-07:00,5354407.63072782
2016-04-11 12:00:15-07:00,5350849.805998946
2016-04-11 12:00:16-07:00,5365641.143650755
2016-04-11 12:00:17-07:00,5365992.204415603
2016-04-11 12:00:18-07:00,5359978.920606753
2016-04-11 12:00:19-07:00,5359990.702154867
2016-04-11 12:00:20-07:00,5356166.068800348
2016-04-11 12:00:21-07:00,5362895.692500617
2016-04-11 12:00:22-07:00,5372361.928551057
2016-04-11 12:00:23-07:00,5382997.99255194
2016-04-11 12:00:24-07:00,5392982.78003147
2016-04-11 12:00:25-07:00,5391898.550133778
2016-04-11 12:00:26-07:00,5370591.926490646
2016-04-11 12:00:27-07:00,5383876.660209055
2016-04-11 12:00:28-07:00,5370601.352173987
2016-04-11 12:00:29-07:00,5360976.386084326
2016-04-11 12:00:30-07:00,5357492.5238161385
2016-04-11 12:00:31-07:00,5347685.47785981
2016-04-11 12:00:32-07:00,5339847.379975622
2016-04-11 12:00:33-07:00,5332555.937692358
2016-04-11 12:00:34-07:00,5320087.321364561
2016-04-11 12:00:35-07:00,5323946.656424166
2016-04-11 12:00:36-07:00,5324502.818148995
2016-04-11 12:00:37-07:00,5321851.458382617
2016-04-11 12:00:38-07:00,5322579.881699923
2016-04-11 12:00:39-07:00,5323341.391569642
2016-04-11 12:00:40-07:00,5333680.649183924
2016-04-11 12:00:41-07:00,5340100.41820486
2016-04-11 12:00:42-07:00,5359610.907961904
2016-04-11 12:00:43-07:00,5356922.096293187
2016-04-11 12:00:44-07:00,5361303.7536475165
2016-04-11 12:00:45-07:00,5370203.252032327
2016-04-11 12:00:46-07:00,5352961.514254354
2016-04-11 12:00:47-07:00,5366958.899738749
2016-04-11 12:00:48-07:00,5383724.4366161255
2016-04-11 12:00:49-07:00,5381255.845821318
2016-04-11 12:00:50-07:00,5400705.745527411
2016-04-11 12:00:51-07:00,5398084.828403393
2016-04-11 12:00:52-07:00,5394405.951469069
2016-04-11 12:00:53-07:00,5392321.872217903
2016-04-11 12:00:54-07:00,5383697.293346204
2016-04-11 12:00:55-07:00,5387603.093431346
2016-04-11 12:00:56-07:00,5384883.963903247
2016-04-11 12:00:57-07:00,5391933.466448826
2016-04-11 12:00:58-07:00,5410673.108046022
2016-04-11 12:00:59-07:00,5426015.748865212
2016-04-11 12:01:00-07:00,5424322.673574347
2016-04-11 12:01:01-07:00,5411155.798349149
2016-04-11 12:01:02-07:00,5397730.599481699
2016-04-11 12:01:03-07:00,5401774.491058872
2016-04-11 12:01:04-07:00,5408875.1233627675
2016-04-11 12:01:05-07:00,5395267.305385407
2016-04-11 12:01:06-07:00,5388716.160960315
2016-04-11 12:01:07-07:00,5388437.017651156
2016-04-11 12:01:08-07:00,5373604.724087534
2016-04-11 12:01:09-07:00,5370664.520542906
2016-04-11 12:01:10-07:00,5370466.433049541
2016-04-11 12:01:11-07:00,5358421.286845971
2016-04-11 12:01:12-07:00,5359276.56892641
2016-04-11 12:01:13-07:00,5365303.12890057
2016-04-11 12:01:14-07:00,5378718.306838782
2016-04-11 12:01:15-07:00,5379907.53715616
2016-04-11 12:01:16-07:00,5382036.802329206
2016-04-11 12:01:17-07:00,5372447.8237481965
2016-04-11 12:01:18-07:00,5386380.998480493
2016-04-11 12:01:19-07:00,5387607.561948096
2016-04-11 12:01:20-07:00,5391630.245861868
2016-04-11 12:01:21-07:00,5400535.466371496
2016-04-11 12:01:22-07:00,5397131.398842065
2016-04-11 12:01:23-07:00,5403045.466715233
2016-04-11 12:01:24-07:00,5413537.820287225
2016-04-11 12:01:25-07:00,5399131.104590906
2016-04-11 12:01:26-07:00,5389621.145658799
2016-04-11 12:01:27-07:00,5401217.201588075
2016-04-11 12:01:28-07:00,5396930.3085552985
2016-04-11 12:01:29-07:00,5381743.525600608
2016-04-11 12:01:30-07:00,5387950.504024701
2016-04-11 12:01:31-07:00,5394536.690407169
2016-04-11 12:01:32-07:00,5390050.590668817
2016-04-11 12:01:33-07:00,5400413.367079295
2016-04-11 12:01:34-07:00,5379313.272571113
