,kW
tran_xf_701_44558_5022,4.4562323088547
tran_xf_701_44558_5024,8.400560867008547
tran_xf_701_44558_5025,4.119674054017094
tran_xf_701_44558_5032,4.4562323088547
tran_xf_701_44558_5034,8.400560867008547
tran_xf_701_44558_5035,4.119674054017094
tran_xf_701_46941_5022,5.034132338666667
tran_xf_701_46941_5024,4.085418803418804
tran_xf_701_46941_5025,5.623425141196581
tran_xf_701_46941_5032,5.034132338666667
tran_xf_701_46941_5034,4.085418803418804
tran_xf_701_46941_5035,5.623425141196581
tran_dj_348700_1816_5022,7.708291298119658
tran_dj_348700_1816_5024,49.40153986119658
tran_dj_348700_1816_5025,8.10457334940171
tran_dj_373525_1816_5022,6.811620427931624
tran_dj_373525_1816_5024,21.637269160786325
tran_dj_373525_1816_5025,9.171055765504272
tran_dj_367418_1816_5022,7.3939617484102556
tran_dj_367418_1816_5024,26.443126665504273
tran_dj_367418_1816_5025,8.706938491350428
tran_xf_701_47091_5022,4.831079586974359
tran_xf_701_47091_5024,11.457009246837607
tran_xf_701_47091_5025,5.932008547008547
tran_xf_701_47091_5032,4.831079586974359
tran_xf_701_47091_5034,11.457009246837607
tran_xf_701_47091_5035,5.932008547008547
tran_xf_701_47055_5022,6.049708911829059
tran_xf_701_47055_5024,11.903032788376066
tran_xf_701_47055_5025,6.784349867487178
tran_xf_701_47055_5032,6.049708911829059
tran_xf_701_47055_5034,11.903032788376066
tran_xf_701_47055_5035,6.784349867487178
tran_xf_701_46089_5022,3.9881266655042733
tran_xf_701_46089_5024,7.044708911829059
tran_xf_701_46089_5025,4.4504188034188035
tran_xf_701_46089_5032,3.9881266655042733
tran_xf_701_46089_5034,7.044708911829059
tran_xf_701_46089_5035,4.4504188034188035
tran_bp_701_89573_5022,28.432765867042733
tran_bp_701_89573_5024,4.547341880341881
tran_bp_701_89573_5025,4.547341880341881
tran_bp_701_89573_5032,28.432765867042733
tran_bp_701_89573_5034,4.547341880341881
tran_bp_701_89573_5035,4.547341880341881
tran_bp_701_89573_5042,28.432765867042733
tran_bp_701_89573_5044,4.547341880341881
tran_bp_701_89573_5045,4.547341880341881
tran_dj_357591_1816_5022,7.165038181606837
tran_dj_357591_1816_5024,11.261511490837607
tran_dj_357591_1816_5025,5.7897109166495735
tran_dj_357591_1816_5032,7.165038181606837
tran_dj_357591_1816_5034,11.261511490837607
tran_dj_357591_1816_5035,5.7897109166495735
tran_xf_701_43136_5022,4.906344054358974
tran_xf_701_43136_5024,13.848555765504273
tran_xf_701_43136_5025,4.682320652786324
tran_xf_701_43136_5032,4.906344054358974
tran_xf_701_43136_5034,13.848555765504273
tran_xf_701_43136_5035,4.682320652786324
tran_dj_388091_1816_5022,5.548879782017094
tran_dj_388091_1816_5024,11.720626665504273
tran_dj_388091_1816_5025,4.355314559726495
tran_dj_388091_1816_5032,5.548879782017094
tran_dj_388091_1816_5034,11.720626665504273
tran_dj_388091_1816_5035,4.355314559726495
tran_dj_362344_1816_5022,3.9668498674871784
tran_dj_362344_1816_5024,9.693108797128206
tran_dj_362344_1816_5025,4.849508547008547
tran_dj_362344_1816_5032,3.9668498674871784
tran_dj_362344_1816_5034,9.693108797128206
tran_dj_362344_1816_5035,4.849508547008547
tran_xf_701_44741_5022,4.96794416451282
tran_xf_701_44741_5024,12.7125
tran_xf_701_44741_5025,6.55696756153846
tran_xf_701_44741_5032,4.96794416451282
tran_xf_701_44741_5034,12.7125
tran_xf_701_44741_5035,6.55696756153846
tran_xf_701_41212_5022,5.14724393965812
tran_xf_701_41212_5024,10.473226495726493
tran_xf_701_41212_5025,5.086519967726495
tran_xf_701_41212_5032,5.14724393965812
tran_xf_701_41212_5034,10.473226495726493
tran_xf_701_41212_5035,5.086519967726495
tran_dj_383582_1816_5022,4.822008547008547
tran_dj_383582_1816_5024,12.804421327350429
tran_dj_383582_1816_5025,5.994425947076922
tran_dj_383582_1816_5032,4.822008547008547
tran_dj_383582_1816_5034,12.804421327350429
tran_dj_383582_1816_5035,5.994425947076922
tran_dj_362253_1816_5022,5.2363850352820505
tran_dj_362253_1816_5024,7.411297815623931
tran_dj_362253_1816_5025,5.095925141196581
tran_dj_362253_1816_5032,5.2363850352820505
tran_dj_362253_1816_5034,7.411297815623931
tran_dj_362253_1816_5035,5.095925141196581
tran_xf_701_41536_5022,7.026055765504273
tran_xf_701_41536_5024,11.669533768136752
tran_xf_701_41536_5025,4.094873544444444
tran_xf_701_41536_5032,7.026055765504273
tran_xf_701_41536_5034,11.669533768136752
tran_xf_701_41536_5035,4.094873544444444
tran_xf_701_40245_5022,6.229829449470086
tran_xf_701_40245_5024,10.929427321982907
tran_xf_701_40245_5025,4.1138440543589745
tran_xf_701_40245_5032,6.229829449470086
tran_xf_701_40245_5034,10.929427321982907
tran_xf_701_40245_5035,4.1138440543589745
tran_dj_392441_1816_5022,5.430361498290598
tran_dj_392441_1816_5024,13.948032788376068
tran_dj_392441_1816_5025,6.127008547008547
tran_dj_392441_1816_5032,5.430361498290598
tran_dj_392441_1816_5034,13.948032788376068
tran_dj_392441_1816_5035,6.127008547008547
tran_dj_383512_1816_5022,7.560261663521367
tran_dj_383512_1816_5024,8.663444724376069
tran_dj_383512_1816_5025,6.064230769230769
tran_dj_383512_1816_5032,7.560261663521367
tran_dj_383512_1816_5034,8.663444724376069
tran_dj_383512_1816_5035,6.064230769230769
tran_dj_378668_1816_5022,5.1366630727179485
tran_dj_378668_1816_5024,13.369432533709402
tran_dj_378668_1816_5025,5.886026690769231
tran_dj_378668_1816_5032,5.1366630727179485
tran_dj_378668_1816_5034,13.369432533709402
tran_dj_378668_1816_5035,5.886026690769231
tran_dj_387998_1816_5022,4.336938491350427
tran_dj_387998_1816_5024,14.177474778871794
tran_dj_387998_1816_5025,5.008890988376067
tran_dj_387998_1816_5032,4.336938491350427
tran_dj_387998_1816_5034,14.177474778871794
tran_dj_387998_1816_5035,5.008890988376067
tran_dj_383520_1816_5022,4.858891692752136
tran_dj_383520_1816_5024,19.393126665504273
tran_dj_383520_1816_5025,8.526764957264955
tran_dj_383520_1816_5032,4.858891692752136
tran_dj_383520_1816_5034,19.393126665504273
tran_dj_383520_1816_5035,8.526764957264955
tran_dj_383500_1816_5022,6.08474393965812
tran_dj_383500_1816_5024,14.025514919999999
tran_dj_383500_1816_5025,5.755655735692308
tran_dj_383500_1816_5032,6.08474393965812
tran_dj_383500_1816_5034,14.025514919999999
tran_dj_383500_1816_5035,5.755655735692308
tran_dj_383515_1816_5022,6.394508547008547
tran_dj_383515_1816_5024,15.43803278837607
tran_dj_383515_1816_5025,6.089230769230769
tran_dj_383515_1816_5032,6.394508547008547
tran_dj_383515_1816_5034,15.43803278837607
tran_dj_383515_1816_5035,6.089230769230769
tran_xf_701_92590_5022,4.977008547008547
tran_xf_701_92590_5024,10.185626665504273
tran_xf_701_92590_5025,4.6857674811965815
tran_xf_701_92590_5032,4.977008547008547
tran_xf_701_92590_5034,10.185626665504273
tran_xf_701_92590_5035,4.6857674811965815
tran_dj_383490_1816_5022,4.92474393965812
tran_dj_383490_1816_5024,15.952386859384616
tran_dj_383490_1816_5025,4.01376790382906
tran_dj_383490_1816_5032,4.92474393965812
tran_dj_383490_1816_5034,15.952386859384616
tran_dj_383490_1816_5035,4.01376790382906
tran_dj_383537_1816_5022,4.900925141196581
tran_dj_383537_1816_5024,15.995
tran_dj_383537_1816_5025,5.341055765504272
tran_dj_383537_1816_5032,4.900925141196581
tran_dj_383537_1816_5034,15.995
tran_dj_383537_1816_5035,5.341055765504272
tran_dj_378660_1816_5022,6.5220085470085465
tran_dj_378660_1816_5024,17.281309021982906
tran_dj_378660_1816_5025,5.704829449470086
tran_dj_378660_1816_5032,6.5220085470085465
tran_dj_378660_1816_5034,17.281309021982906
tran_dj_378660_1816_5035,5.704829449470086
tran_dj_387986_1816_5022,5.079508547008547
tran_dj_387986_1816_5024,11.719467561538462
tran_dj_387986_1816_5025,5.402008547008547
tran_dj_387986_1816_5032,5.079508547008547
tran_dj_387986_1816_5034,11.719467561538462
tran_dj_387986_1816_5035,5.402008547008547
tran_xf_701_91095_5022,6.536508686974358
tran_xf_701_91095_5024,10.62438034188034
tran_xf_701_91095_5025,4.913425141196581
tran_xf_701_91095_5032,6.536508686974358
tran_xf_701_91095_5034,10.62438034188034
tran_xf_701_91095_5035,4.913425141196581
tran_xf_701_89614_5022,6.309969724786324
tran_xf_701_89614_5024,12.3625
tran_xf_701_89614_5025,4.818155735692308
tran_xf_701_89614_5032,6.309969724786324
tran_xf_701_89614_5034,12.3625
tran_xf_701_89614_5035,4.818155735692308
tran_xf_701_91096_5022,5.215708631897434
tran_xf_701_91096_5024,15.688444724376069
tran_xf_701_91096_5025,5.236673324136751
tran_xf_701_91096_5032,5.215708631897434
tran_xf_701_91096_5034,15.688444724376069
tran_xf_701_91096_5035,5.236673324136751
tran_dj_383549_1816_5022,5.232870981846153
tran_dj_383549_1816_5024,9.7157688808547
tran_dj_383549_1816_5025,6.106055765504273
tran_dj_383549_1816_5032,5.232870981846153
tran_dj_383549_1816_5034,9.7157688808547
tran_dj_383549_1816_5035,6.106055765504273
tran_dj_388020_1816_5022,4.758126665504273
tran_dj_388020_1816_5024,18.98909135319658
tran_dj_388020_1816_5025,4.864349867487178
tran_dj_388020_1816_5032,4.758126665504273
tran_dj_388020_1816_5034,18.98909135319658
tran_dj_388020_1816_5035,4.864349867487178
tran_dj_387953_1816_5022,5.037008547008547
tran_dj_387953_1816_5024,8.455944724376067
tran_dj_387953_1816_5025,5.946002873846154
tran_dj_387953_1816_5032,5.037008547008547
tran_dj_387953_1816_5034,8.455944724376067
tran_dj_387953_1816_5035,5.946002873846154
tran_xf_701_89759_5022,5.658555765504273
tran_xf_701_89759_5024,14.408950537504275
tran_xf_701_89759_5025,6.074721924991453
tran_xf_701_89759_5032,5.658555765504273
tran_xf_701_89759_5034,14.408950537504275
tran_xf_701_89759_5035,6.074721924991453
tran_xf_701_91434_5022,4.551297815623931
tran_xf_701_91434_5024,17.099716269128205
tran_xf_701_91434_5025,5.425026270871793
tran_xf_701_91434_5032,4.551297815623931
tran_xf_701_91434_5034,17.099716269128205
tran_xf_701_91434_5035,5.425026270871793
tran_dj_383561_1816_5022,6.607008547008547
tran_dj_383561_1816_5024,11.703444724376066
tran_dj_383561_1816_5025,5.630826325948717
tran_dj_383561_1816_5032,6.607008547008547
tran_dj_383561_1816_5034,11.703444724376066
tran_dj_383561_1816_5035,5.630826325948717
tran_dj_383545_1816_5022,4.888274134119658
tran_dj_383545_1816_5024,22.599421327350427
tran_dj_383545_1816_5025,5.3672439396581195
tran_dj_383545_1816_5032,4.888274134119658
tran_dj_383545_1816_5034,22.599421327350427
tran_dj_383545_1816_5035,5.3672439396581195
tran_dj_383553_1816_5022,4.057280301264957
tran_dj_383553_1816_5024,9.603204078461538
tran_dj_383553_1816_5025,6.175972119589742
tran_dj_383553_1816_5032,4.057280301264957
tran_dj_383553_1816_5034,9.603204078461538
tran_dj_383553_1816_5035,6.175972119589742
tran_xf_701_91749_5022,4.88820267425641
tran_xf_701_91749_5024,17.074886859384613
tran_xf_701_91749_5025,6.230767481196581
tran_xf_701_91749_5032,4.88820267425641
tran_xf_701_91749_5034,17.074886859384613
tran_xf_701_91749_5035,6.230767481196581
