xf_701_44558_502,0.001
tran_xf_701_44558_502,0.001
xf_701_44558_503,0.001
tran_xf_701_44558_503,0.001
xf_701_46941_502,0.001
tran_xf_701_46941_502,0.001
xf_701_46941_503,0.001
tran_xf_701_46941_503,0.001
dj_348700_1816_502,0.001
tran_dj_348700_1816_502,0.001
dj_373525_1816_502,0.001
tran_dj_373525_1816_502,0.001
dj_367418_1816_502,0.001
tran_dj_367418_1816_502,0.001
xf_701_47091_502,0.001
tran_xf_701_47091_502,0.001
xf_701_47091_503,0.001
tran_xf_701_47091_503,0.001
xf_701_47055_502,0.001
tran_xf_701_47055_502,0.001
xf_701_47055_503,0.001
tran_xf_701_47055_503,0.001
xf_701_46089_502,0.001
tran_xf_701_46089_502,0.001
xf_701_46089_503,0.001
tran_xf_701_46089_503,0.001
bp_701_89573_502,0.001
tran_bp_701_89573_502,0.001
bp_701_89573_503,0.001
tran_bp_701_89573_503,0.001
bp_701_89573_504,0.001
tran_bp_701_89573_504,0.001
dj_357591_1816_502,0.001
tran_dj_357591_1816_502,0.001
dj_357591_1816_503,0.001
tran_dj_357591_1816_503,0.001
xf_701_43136_502,0.001
tran_xf_701_43136_502,0.001
xf_701_43136_503,0.001
tran_xf_701_43136_503,0.001
dj_388091_1816_502,0.001
tran_dj_388091_1816_502,0.001
dj_388091_1816_503,0.001
tran_dj_388091_1816_503,0.001
dj_362344_1816_502,0.001
tran_dj_362344_1816_502,0.001
dj_362344_1816_503,0.001
tran_dj_362344_1816_503,0.001
xf_701_44741_502,0.001
tran_xf_701_44741_502,0.001
xf_701_44741_503,0.001
tran_xf_701_44741_503,0.001
xf_701_41212_502,0.001
tran_xf_701_41212_502,0.001
xf_701_41212_503,0.001
tran_xf_701_41212_503,0.001
dj_383582_1816_502,0.001
tran_dj_383582_1816_502,0.001
dj_383582_1816_503,0.001
tran_dj_383582_1816_503,0.001
dj_362253_1816_502,0.001
tran_dj_362253_1816_502,0.001
dj_362253_1816_503,0.001
tran_dj_362253_1816_503,0.001
xf_701_41536_502,0.001
tran_xf_701_41536_502,0.001
xf_701_41536_503,0.001
tran_xf_701_41536_503,0.001
xf_701_40245_502,0.001
tran_xf_701_40245_502,0.001
xf_701_40245_503,0.001
tran_xf_701_40245_503,0.001
dj_392441_1816_502,0.001
tran_dj_392441_1816_502,0.001
dj_392441_1816_503,0.001
tran_dj_392441_1816_503,0.001
dj_383512_1816_502,0.001
tran_dj_383512_1816_502,0.001
dj_383512_1816_503,0.001
tran_dj_383512_1816_503,0.001
dj_378668_1816_502,0.001
tran_dj_378668_1816_502,0.001
dj_378668_1816_503,0.001
tran_dj_378668_1816_503,0.001
dj_387998_1816_502,0.001
tran_dj_387998_1816_502,0.001
dj_387998_1816_503,0.001
tran_dj_387998_1816_503,0.001
dj_383520_1816_502,0.001
tran_dj_383520_1816_502,0.001
dj_383520_1816_503,0.001
tran_dj_383520_1816_503,0.001
dj_383500_1816_502,0.001
tran_dj_383500_1816_502,0.001
dj_383500_1816_503,0.001
tran_dj_383500_1816_503,0.001
dj_383515_1816_502,0.001
tran_dj_383515_1816_502,0.001
dj_383515_1816_503,0.001
tran_dj_383515_1816_503,0.001
xf_701_92590_502,0.001
tran_xf_701_92590_502,0.001
xf_701_92590_503,0.001
tran_xf_701_92590_503,0.001
dj_383490_1816_502,0.001
tran_dj_383490_1816_502,0.001
dj_383490_1816_503,0.001
tran_dj_383490_1816_503,0.001
dj_383537_1816_502,0.001
tran_dj_383537_1816_502,0.001
dj_383537_1816_503,0.001
tran_dj_383537_1816_503,0.001
dj_378660_1816_502,0.001
tran_dj_378660_1816_502,0.001
dj_378660_1816_503,0.001
tran_dj_378660_1816_503,0.001
dj_387986_1816_502,0.001
tran_dj_387986_1816_502,0.001
dj_387986_1816_503,0.001
tran_dj_387986_1816_503,0.001
xf_701_91095_502,0.001
tran_xf_701_91095_502,0.001
xf_701_91095_503,0.001
